,Emotions,Path
1,disgust,/content/drive/MyDrive/Colab Notebooks/CREMA/1079_TIE_DIS_XX.wav
2,happy,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_DFA_HAP_XX.wav
3,angry,/content/drive/MyDrive/Colab Notebooks/CREMA/1079_WSI_ANG_XX.wav
4,happy,/content/drive/MyDrive/Colab Notebooks/CREMA/1079_TSI_HAP_XX.wav
5,fear,/content/drive/MyDrive/Colab Notebooks/CREMA/1079_TIE_FEA_XX.wav
6,disgust,/content/drive/MyDrive/Colab Notebooks/CREMA/1079_WSI_DIS_XX.wav
8,angry,/content/drive/MyDrive/Colab Notebooks/CREMA/1079_TIE_ANG_XX.wav
9,sad,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_DFA_SAD_XX.wav
10,fear,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_DFA_FEA_XX.wav
12,happy,/content/drive/MyDrive/Colab Notebooks/CREMA/1079_TIE_HAP_XX.wav
13,disgust,/content/drive/MyDrive/Colab Notebooks/CREMA/1079_TSI_DIS_XX.wav
15,angry,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_DFA_ANG_XX.wav
16,sad,/content/drive/MyDrive/Colab Notebooks/CREMA/1079_WSI_SAD_XX.wav
17,angry,/content/drive/MyDrive/Colab Notebooks/CREMA/1079_TSI_ANG_XX.wav
18,sad,/content/drive/MyDrive/Colab Notebooks/CREMA/1079_TIE_SAD_XX.wav
19,happy,/content/drive/MyDrive/Colab Notebooks/CREMA/1079_WSI_HAP_XX.wav
20,disgust,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_DFA_DIS_XX.wav
21,fear,/content/drive/MyDrive/Colab Notebooks/CREMA/1079_TSI_FEA_XX.wav
22,fear,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_IEO_FEA_HI.wav
23,disgust,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_IEO_DIS_LO.wav
24,angry,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_IEO_ANG_LO.wav
25,happy,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_IEO_HAP_MD.wav
26,angry,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_IEO_ANG_MD.wav
27,angry,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_IEO_ANG_HI.wav
28,happy,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_IEO_HAP_HI.wav
29,disgust,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_IEO_DIS_HI.wav
30,sad,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_IEO_SAD_LO.wav
31,fear,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_IEO_FEA_LO.wav
32,disgust,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_IEO_DIS_MD.wav
34,fear,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_IEO_FEA_MD.wav
35,happy,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_IEO_HAP_LO.wav
36,sad,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_IEO_SAD_HI.wav
37,disgust,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_IOM_DIS_XX.wav
39,sad,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_IOM_SAD_XX.wav
40,happy,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_IOM_HAP_XX.wav
41,angry,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_IOM_ANG_XX.wav
42,fear,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_IOM_FEA_XX.wav
43,sad,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_IEO_SAD_MD.wav
44,sad,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_ITH_SAD_XX.wav
45,fear,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_IWL_FEA_XX.wav
46,fear,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_ITS_FEA_XX.wav
47,happy,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_ITH_HAP_XX.wav
48,angry,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_IWL_ANG_XX.wav
49,disgust,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_ITS_DIS_XX.wav
50,disgust,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_ITH_DIS_XX.wav
51,angry,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_ITH_ANG_XX.wav
52,disgust,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_IWL_DIS_XX.wav
53,angry,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_ITS_ANG_XX.wav
55,fear,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_ITH_FEA_XX.wav
56,happy,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_IWL_HAP_XX.wav
57,sad,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_ITS_SAD_XX.wav
58,happy,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_ITS_HAP_XX.wav
61,happy,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_IWW_HAP_XX.wav
63,angry,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_IWW_ANG_XX.wav
65,happy,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_TAI_HAP_XX.wav
66,disgust,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_MTI_DIS_XX.wav
67,sad,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_MTI_SAD_XX.wav
68,angry,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_TIE_ANG_XX.wav
69,disgust,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_IWW_DIS_XX.wav
70,disgust,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_TIE_DIS_XX.wav
72,fear,/content/drive/MyDrive/Colab Notebooks/CREMA/1080_TIE_FEA_XX.wav
