,Emotions,Path
0,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-05-01-02-02-09.wav
2,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-03-02-01-02-09.wav
4,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-04-02-01-01-09.wav
7,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-03-01-01-01-09.wav
8,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-04-01-01-02-09.wav
10,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-04-01-02-01-09.wav
11,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-04-02-02-01-09.wav
13,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-04-01-02-02-09.wav
14,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-05-01-01-01-09.wav
16,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-04-01-01-01-09.wav
20,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-04-02-01-02-09.wav
23,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-03-01-02-02-09.wav
24,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-03-02-02-01-09.wav
25,sad,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-04-02-02-02-09.wav
26,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-03-02-02-02-09.wav
27,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-03-01-01-02-09.wav
28,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-05-01-02-01-09.wav
29,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-03-02-01-01-09.wav
30,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-05-01-01-02-09.wav
31,happy,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-03-01-02-01-09.wav
32,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-06-02-01-02-09.wav
33,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-05-02-02-01-09.wav
34,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-07-02-01-01-09.wav
35,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-06-02-01-01-09.wav
36,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-07-02-02-01-09.wav
37,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-08-01-01-02-09.wav
38,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-08-01-01-01-09.wav
39,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-07-02-02-02-09.wav
40,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-08-01-02-02-09.wav
41,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-06-02-02-01-09.wav
42,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-08-01-02-01-09.wav
43,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-05-02-02-02-09.wav
44,fear,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-06-02-02-02-09.wav
45,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-05-02-01-01-09.wav
46,disgust,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-07-01-02-02-09.wav
47,surprise,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-08-02-02-01-09.wav
48,angry,/content/drive/MyDrive/RAV/audio_speech_actors_01-24/Actor_09/03-01-05-02-01-02-09.wav
